,bp,b2what,indus,cat_abs,bin_rel,bin_abs
10,"When asked to evaluate this brand's personality, consumers thought the following traits described this brand particularly well: upper-class, daring, unique, smooth, cool. 
On the other hand, consumers thought these traits did not describe this brand: family-oriented, small-town, friendly, successful, honest",The company offers its products and services to both consumers and to other businesses.,"The company operates in these industries: Sales and Marketing, Community and Lifestyle","This brand's logo has the following features: 
 - Dominant color: Black
 - Overall shape: Rectangle/Oval
 - High-level description of the shape and form of the mark (if present): Detailed and circular
 - Type of font: Sans-serif font (e.g., Arial, Helvetica)
 - Number of colors: Two colors","Relative to other brands, some unique features that this brand's logo has include: 
 - Design: High GPC (i.e., very complex)
 - Mark position: above the brand name
 - Design: High percentage of whitespace
 - Accent color: Dark Grey
 - Has the color: Dark Grey","A few other features this logo has include: 
 - Font slant: None (non-italics)
 - Font width: Ordinary
 - Font weight: Ordinary (not bold, not light)
 - Design: High GPC (i.e., very complex)
 - Mark: Has a mark"
11,"When asked to evaluate this brand's personality, consumers thought the following traits described this brand particularly well: good-looking, up-to-date, intelligent, contemporary, unique. 
On the other hand, consumers thought these traits did not describe this brand: successful, leader, western, sentimental, confident",The company offers its products and services primarily to other businesses.,"The company operates in these industries: Manufacturing, Transportation","This brand's logo has the following features: 
 - Dominant color: Dark Red
 - Overall shape: Rectangle/Oval
 - High-level description of the shape and form of the mark (if present): Thin design
 - Type of font: Sans-serif font (e.g., Arial, Helvetica)
 - Number of colors: One color","Relative to other brands, some unique features that this brand's logo has include: 
 - Font slant: None (non-italics)
 - Font width: Ordinary
 - Mark: Has a mark
 - Edges: Many horizontal edges
 - Font weight: Bold","A few other features this logo has include: 
 - Font slant: None (non-italics)
 - Mark: Has a mark
 - Font width: Ordinary
 - Font weight: Bold
 - Font weight: Ordinary (not bold, not light)"
12,"When asked to evaluate this brand's personality, consumers thought the following traits described this brand particularly well: family-oriented, corporate, reliable, friendly, small-town. 
On the other hand, consumers thought these traits did not describe this brand: unique, cool, exciting, imaginative, daring",The company offers its products and services primarily to other businesses.,"The company operates in these industries: Financial Services, Health Care","This brand's logo has the following features: 
 - Dominant color: Blue
 - Overall shape: Narrow Rectangle/Oval
 - High-level description of the shape and form of the mark (if present): Thin design
 - Type of font: Sans-serif font (e.g., Arial, Helvetica)
 - Number of colors: Two colors","Relative to other brands, some unique features that this brand's logo has include: 
 - Has the color: Blue
 - Mark: Has a mark
 - Mark position: toward the left of the logo
 - Font width: Ordinary
 - Mark position: to the left of the brand name","A few other features this logo has include: 
 - Mark: Has a mark
 - Font width: Ordinary
 - Has the color: Blue
 - Font slant: None (non-italics)
 - Font weight: Bold"
13,"When asked to evaluate this brand's personality, consumers thought the following traits described this brand particularly well: family-oriented, reliable, wholesome, secure, honest. 
On the other hand, consumers thought these traits did not describe this brand: daring, imaginative, trendy, unique, spirited",The company offers its products and services primarily to other businesses.,"The company operates in these industries: Health Care, Commerce and Shopping","This brand's logo has the following features: 
 - Dominant color: Red
 - Overall shape: Narrow Rectangle/Oval
 - High-level description of the shape and form of the mark (if present): Detailed with a horizontal orientation
 - Type of font: Sans-serif font (e.g., Arial, Helvetica)
 - Number of colors: Two colors","Relative to other brands, some unique features that this brand's logo has include: 
 - Font weight: Bold
 - Mark: Has a mark
 - Design: Low percentage of whitespace
 - Font width: Ordinary
 - Font class: Grotesque","A few other features this logo has include: 
 - Mark: Has a mark
 - Font weight: Bold
 - Font width: Ordinary
 - Font slant: None (non-italics)
 - Design: Low percentage of whitespace"
14,"When asked to evaluate this brand's personality, consumers thought the following traits described this brand particularly well: confident, successful, leader, good-looking, upper-class. 
On the other hand, consumers thought these traits did not describe this brand: friendly, family-oriented, small-town, sentimental, young",The company offers its products and services primarily to other businesses.,"The company operates in these industries: Manufacturing, Natural Resources","This brand's logo has the following features: 
 - Dominant color: Black
 - Overall shape: Narrow Rectangle/Oval
 - High-level description of the shape and form of the mark (if present): Thin design
 - Type of font: Sans-serif font (e.g., Arial, Helvetica)
 - Number of colors: Three colors","Relative to other brands, some unique features that this brand's logo has include: 
 - Has the color: Black
 - Edges: Many upward diagonal edges
 - Mark: Has a mark
 - Has the color: Light Grey
 - Color saturation: Low variation","A few other features this logo has include: 
 - Mark: Has a mark
 - Has the color: Black
 - Font slant: None (non-italics)
 - Font width: Ordinary
 - Edges: Many upward diagonal edges"
15,"When asked to evaluate this brand's personality, consumers thought the following traits described this brand particularly well: charming, cheerful, good-looking, friendly, spirited. 
On the other hand, consumers thought these traits did not describe this brand: corporate, technical, masculine, intelligent, upper-class",The company offers its products and services primarily to other businesses.,"The company operates in these industries: Commerce and Shopping, Consumer Goods","This brand's logo has the following features: 
 - Dominant color: Black
 - Overall shape: Narrow Rectangle/Oval
 - High-level description of the shape and form of the mark (if present): No mark
 - Type of font: Sans-serif font (e.g., Arial, Helvetica)
 - Number of colors: Two colors","Relative to other brands, some unique features that this brand's logo has include: 
 - Color saturation: Grayscale
 - Color lightness: Low (i.e., dark colors)
 - Color lightness: High variation
 - Has the color: Black
 - Design: Low percentage of whitespace","A few other features this logo has include: 
 - Has the color: Black
 - Color lightness: Low (i.e., dark colors)
 - Font slant: None (non-italics)
 - Color lightness: High variation
 - Mark: Has a mark"
16,"When asked to evaluate this brand's personality, consumers thought the following traits described this brand particularly well: tough, rugged, outdoorsy, masculine, western. 
On the other hand, consumers thought these traits did not describe this brand: feminine, small-town, sentimental, family-oriented, charming",The company offers its products and services to both consumers and to other businesses.,"The company operates in these industries: Manufacturing, Transportation","This brand's logo has the following features: 
 - Dominant color: Blue
 - Overall shape: Circle
 - High-level description of the shape and form of the mark (if present): Horizontal and wispy
 - Type of font: Sans-serif font (e.g., Arial, Helvetica)
 - Number of colors: One color","Relative to other brands, some unique features that this brand's logo has include: 
 - Design: Low GPC (i.e., not very complex)
 - Mark: Has a mark
 - Font weight: Bold
 - Design: Few corners
 - Design: Few distinct regions","A few other features this logo has include: 
 - Mark: Has a mark
 - Font weight: Bold
 - Font slant: None (non-italics)
 - Font width: Ordinary
 - Design: Low GPC (i.e., not very complex)"
17,"When asked to evaluate this brand's personality, consumers thought the following traits described this brand particularly well: unique, good-looking, cool, charming, glamorous. 
On the other hand, consumers thought these traits did not describe this brand: corporate, technical, tough, rugged, hard-working",The company offers its products and services primarily to other businesses.,"The company operates in these industries: Internet Services, Commerce and Shopping","This brand's logo has the following features: 
 - Dominant color: Black
 - Overall shape: Narrow Rectangle/Oval
 - High-level description of the shape and form of the mark (if present): Thin design
 - Type of font: Sans-serif font (e.g., Arial, Helvetica)
 - Number of colors: Two colors","Relative to other brands, some unique features that this brand's logo has include: 
 - Has the color: Black
 - Accent color: Dark Grey
 - Accent color: Light Grey
 - Has the color: Light Grey
 - Font slant: None (non-italics)","A few other features this logo has include: 
 - Font slant: None (non-italics)
 - Has the color: Black
 - Mark: Has a mark
 - Font width: Ordinary
 - Font weight: Ordinary (not bold, not light)"
18,"When asked to evaluate this brand's personality, consumers thought the following traits described this brand particularly well: upper-class, glamorous, secure, confident, good-looking. 
On the other hand, consumers thought these traits did not describe this brand: down-to-earth, rugged, tough, outdoorsy, wholesome",The company offers its products and services primarily to other businesses.,"The company operates in these industries: Financial Services, Internet Services","This brand's logo has the following features: 
 - Dominant color: Black
 - Overall shape: Narrow Rectangle/Oval
 - High-level description of the shape and form of the mark (if present): No mark
 - Type of font: Sans-serif font (e.g., Arial, Helvetica)
 - Number of colors: Two colors","Relative to other brands, some unique features that this brand's logo has include: 
 - Color saturation: Grayscale
 - Accent color: Dark Grey
 - Color lightness: High variation
 - Has the color: Dark Grey
 - Has the color: Black","A few other features this logo has include: 
 - Font slant: None (non-italics)
 - Font width: Ordinary
 - Has the color: Black
 - Font weight: Ordinary (not bold, not light)
 - Color lightness: High variation"
19,"When asked to evaluate this brand's personality, consumers thought the following traits described this brand particularly well: technical, up-to-date, secure, intelligent, confident. 
On the other hand, consumers thought these traits did not describe this brand: small-town, feminine, sentimental, charming, family-oriented",The company offers its products and services to both consumers and to other businesses.,"The company operates in these industries: Internet Services, Telecommunications","This brand's logo has the following features: 
 - Dominant color: Black
 - Overall shape: Narrow Rectangle/Oval
 - High-level description of the shape and form of the mark (if present): Thin design
 - Type of font: Sans-serif font (e.g., Arial, Helvetica)
 - Number of colors: Two colors","Relative to other brands, some unique features that this brand's logo has include: 
 - Mark position: above the brand name
 - Has the color: Black
 - Mark position: toward the top of the logo
 - Font width: Ordinary
 - Color lightness: High (i.e., bright colors)","A few other features this logo has include: 
 - Font width: Ordinary
 - Font slant: None (non-italics)
 - Mark: Has a mark
 - Has the color: Black
 - Font weight: Ordinary (not bold, not light)"
20,"When asked to evaluate this brand's personality, consumers thought the following traits described this brand particularly well: corporate, secure, upper-class, masculine, western. 
On the other hand, consumers thought these traits did not describe this brand: imaginative, spirited, original, unique, trendy",The company offers its products and services to both consumers and to other businesses.,"The company operates in these industries: Financial Services, Real Estate","This brand's logo has the following features: 
 - Dominant color: Dark Blue
 - Overall shape: Narrow Rectangle/Oval
 - High-level description of the shape and form of the mark (if present): Horizontal and wispy
 - Type of font: Sans-serif font (e.g., Arial, Helvetica)
 - Number of colors: Two colors","Relative to other brands, some unique features that this brand's logo has include: 
 - Font weight: Bold
 - Edges: Few downward diagonal edges
 - Mark: Has a mark
 - Has the color: Dark Blue
 - Font width: Ordinary","A few other features this logo has include: 
 - Mark: Has a mark
 - Font weight: Bold
 - Font width: Ordinary
 - Font slant: None (non-italics)
 - Edges: Few downward diagonal edges"
21,"When asked to evaluate this brand's personality, consumers thought the following traits described this brand particularly well: corporate, upper-class, up-to-date, confident, contemporary. 
On the other hand, consumers thought these traits did not describe this brand: small-town, family-oriented, rugged, honest, outdoorsy",The company offers its products and services primarily to consumers.,"The company operates in these industries: Travel and Tourism, Sales and Marketing","This brand's logo has the following features: 
 - Dominant color: Dark Grey
 - Overall shape: Rectangle/Oval
 - High-level description of the shape and form of the mark (if present): Thin design
 - Type of font: Sans-serif font (e.g., Arial, Helvetica)
 - Number of colors: Three colors","Relative to other brands, some unique features that this brand's logo has include: 
 - Design: High percentage of whitespace
 - Mark position: toward the top of the logo
 - Color saturation: Low
 - Mark position: above the brand name
 - Color saturation: Low variation","A few other features this logo has include: 
 - Font width: Ordinary
 - Mark: Has a mark
 - Font slant: None (non-italics)
 - Design: High percentage of whitespace
 - Font weight: Ordinary (not bold, not light)"
22,"When asked to evaluate this brand's personality, consumers thought the following traits described this brand particularly well: tough, masculine, rugged, hard-working, independent. 
On the other hand, consumers thought these traits did not describe this brand: feminine, small-town, glamorous, family-oriented, cheerful",The company offers its products and services to both consumers and to other businesses.,"The company operates in these industries: Manufacturing, Software","This brand's logo has the following features: 
 - Dominant color: Black
 - Overall shape: Narrow Rectangle/Oval
 - High-level description of the shape and form of the mark (if present): Long and horizontal
 - Type of font: Sans-serif font (e.g., Arial, Helvetica)
 - Number of colors: Two colors","Relative to other brands, some unique features that this brand's logo has include: 
 - Design: Low GPC (i.e., not very complex)
 - Design: Low percentage of whitespace
 - Color lightness: Low (i.e., dark colors)
 - Color saturation: Grayscale
 - Color lightness: High variation","A few other features this logo has include: 
 - Mark: Has a mark
 - Design: Low GPC (i.e., not very complex)
 - Design: Low percentage of whitespace
 - Color lightness: Low (i.e., dark colors)
 - Has the color: Black"
23,"When asked to evaluate this brand's personality, consumers thought the following traits described this brand particularly well: reliable, wholesome, sincere, intelligent, secure. 
On the other hand, consumers thought these traits did not describe this brand: corporate, glamorous, upper-class, leader, trendy",The company offers its products and services primarily to other businesses.,"The company operates in these industries: Hardware, Consumer Electronics","This brand's logo has the following features: 
 - Dominant color: Black
 - Overall shape: Rectangle/Oval
 - High-level description of the shape and form of the mark (if present): Thin design
 - Type of font: Sans-serif font (e.g., Arial, Helvetica)
 - Number of colors: Three colors","Relative to other brands, some unique features that this brand's logo has include: 
 - Color saturation: Low
 - Color saturation: Low variation
 - Has the color: Black
 - Accent color: Light Grey
 - Has the color: Light Grey","A few other features this logo has include: 
 - Has the color: Black
 - Font slant: None (non-italics)
 - Mark: Has a mark
 - Font width: Ordinary
 - Has the color: Light Grey"
24,"When asked to evaluate this brand's personality, consumers thought the following traits described this brand particularly well: corporate, technical, upper-class, glamorous, masculine. 
On the other hand, consumers thought these traits did not describe this brand: reliable, sincere, honest, real, friendly",The company offers its products and services to both consumers and to other businesses.,"The company operates in these industries: Sales and Marketing, Natural Resources","This brand's logo has the following features: 
 - Dominant color: Light Grey
 - Overall shape: Narrow Rectangle/Oval
 - High-level description of the shape and form of the mark (if present): Hollow and circular
 - Type of font: Sans-serif font (e.g., Arial, Helvetica)
 - Number of colors: Three colors","Relative to other brands, some unique features that this brand's logo has include: 
 - Color saturation: Low
 - Color saturation: Low variation
 - Has the color: Light Grey
 - Font weight: Light
 - Font width: Ordinary","A few other features this logo has include: 
 - Font slant: None (non-italics)
 - Font width: Ordinary
 - Mark: Has a mark
 - Color saturation: Low
 - Font weight: Ordinary (not bold, not light)"
25,"When asked to evaluate this brand's personality, consumers thought the following traits described this brand particularly well: good-looking, glamorous, up-to-date, exciting, contemporary. 
On the other hand, consumers thought these traits did not describe this brand: rugged, masculine, tough, small-town, western",The company offers its products and services primarily to other businesses.,"The company operates in these industries: Transportation, Consumer Goods","This brand's logo has the following features: 
 - Dominant color: Black
 - Overall shape: Narrow Rectangle/Oval
 - High-level description of the shape and form of the mark (if present): Thin design
 - Type of font: Sans-serif font (e.g., Arial, Helvetica)
 - Number of colors: Two colors","Relative to other brands, some unique features that this brand's logo has include: 
 - Has the color: Black
 - Font slant: None (non-italics)
 - Font width: Ordinary
 - Mark: Has a mark
 - Color lightness: High variation","A few other features this logo has include: 
 - Font slant: None (non-italics)
 - Font width: Ordinary
 - Mark: Has a mark
 - Has the color: Black
 - Font weight: Ordinary (not bold, not light)"
26,"When asked to evaluate this brand's personality, consumers thought the following traits described this brand particularly well: young, contemporary, imaginative, spirited, trendy. 
On the other hand, consumers thought these traits did not describe this brand: reliable, secure, successful, rugged, leader",The company offers its products and services primarily to consumers.,"The company operates in these industries: Manufacturing, Administrative Services","This brand's logo has the following features: 
 - Dominant color: Blue
 - Overall shape: Narrow Rectangle/Oval
 - High-level description of the shape and form of the mark (if present): No mark
 - Type of font: Sans-serif font (e.g., Arial, Helvetica)
 - Number of colors: One color","Relative to other brands, some unique features that this brand's logo has include: 
 - Color saturation: High
 - Color saturation: High variation
 - Has the color: Blue
 - Font slant: None (non-italics)
 - Font weight: Bold","A few other features this logo has include: 
 - Font slant: None (non-italics)
 - Mark: Has a mark
 - Font weight: Bold
 - Font width: Ordinary
 - Color saturation: High"
27,"When asked to evaluate this brand's personality, consumers thought the following traits described this brand particularly well: imaginative, exciting, technical, up-to-date, daring. 
On the other hand, consumers thought these traits did not describe this brand: small-town, down-to-earth, real, honest, sincere",The company offers its products and services primarily to other businesses.,"The company operates in these industries: Manufacturing, Media and Entertainment","This brand's logo has the following features: 
 - Dominant color: Blue
 - Overall shape: Rectangle/Oval
 - High-level description of the shape and form of the mark (if present): Long and horizontal
 - Type of font: Sans-serif font (e.g., Arial, Helvetica)
 - Number of colors: One color","Relative to other brands, some unique features that this brand's logo has include: 
 - Design: Few distinct regions
 - Color lightness: Low variation
 - Edges: Many upward diagonal edges
 - Font slant: Italics
 - Mark: Has a mark","A few other features this logo has include: 
 - Mark: Has a mark
 - Font weight: Bold
 - Design: Few distinct regions
 - Color lightness: Low variation
 - Edges: Many upward diagonal edges"
28,"When asked to evaluate this brand's personality, consumers thought the following traits described this brand particularly well: technical, imaginative, intelligent, up-to-date, corporate. 
On the other hand, consumers thought these traits did not describe this brand: sentimental, friendly, wholesome, family-oriented, charming",The company offers its products and services primarily to consumers.,"The company operates in these industries: Manufacturing, Energy","This brand's logo has the following features: 
 - Dominant color: Light Green
 - Overall shape: Triangle
 - High-level description of the shape and form of the mark (if present): Thin vertical rectangles
 - Type of font: Sans-serif font (e.g., Arial, Helvetica)
 - Number of colors: Two colors","Relative to other brands, some unique features that this brand's logo has include: 
 - Has the color: Light Green
 - Font slant: None (non-italics)
 - Font width: Ordinary
 - Mark: Has a mark
 - Mark position: above the brand name","A few other features this logo has include: 
 - Font slant: None (non-italics)
 - Mark: Has a mark
 - Font width: Ordinary
 - Font weight: Bold
 - Font weight: Ordinary (not bold, not light)"
29,"When asked to evaluate this brand's personality, consumers thought the following traits described this brand particularly well: masculine, tough, rugged, upper-class, outdoorsy. 
On the other hand, consumers thought these traits did not describe this brand: family-oriented, honest, cheerful, small-town, friendly",The company offers its products and services primarily to consumers.,"The company operates in these industries: Professional Services, Manufacturing","This brand's logo has the following features: 
 - Dominant color: Black
 - Overall shape: Narrow Rectangle/Oval
 - High-level description of the shape and form of the mark (if present): Thin design
 - Type of font: Sans-serif font (e.g., Arial, Helvetica)
 - Number of colors: Two colors","Relative to other brands, some unique features that this brand's logo has include: 
 - Color saturation: Grayscale
 - Has the color: Black
 - Color lightness: High variation
 - Accent color: Dark Grey
 - Has the color: Dark Grey","A few other features this logo has include: 
 - Has the color: Black
 - Mark: Has a mark
 - Font width: Ordinary
 - Color lightness: High variation
 - Font slant: None (non-italics)"
30,"When asked to evaluate this brand's personality, consumers thought the following traits described this brand particularly well: good-looking, exciting, cool, unique, smooth. 
On the other hand, consumers thought these traits did not describe this brand: small-town, corporate, hard-working, western, down-to-earth",The company offers its products and services primarily to other businesses.,"The company operates in these industries: Manufacturing, Transportation","This brand's logo has the following features: 
 - Dominant color: Red
 - Overall shape: Triangle
 - High-level description of the shape and form of the mark (if present): Thin design
 - Type of font: Sans-serif font (e.g., Arial, Helvetica)
 - Number of colors: Two colors","Relative to other brands, some unique features that this brand's logo has include: 
 - Mark position: above the brand name
 - Edges: Many downward diagonal edges
 - Symmetry: High horizontal symmetry
 - Font slant: None (non-italics)
 - Font width: Ordinary","A few other features this logo has include: 
 - Font slant: None (non-italics)
 - Font width: Ordinary
 - Mark: Has a mark
 - Font weight: Bold
 - Edges: Many downward diagonal edges"
31,"When asked to evaluate this brand's personality, consumers thought the following traits described this brand particularly well: original, honest, real, friendly, reliable. 
On the other hand, consumers thought these traits did not describe this brand: corporate, technical, small-town, upper-class, western",The company offers its products and services primarily to other businesses.,"The company operates in these industries: Sports, Consumer Goods","This brand's logo has the following features: 
 - Dominant color: Red
 - Overall shape: Rectangle/Oval
 - High-level description of the shape and form of the mark (if present): No mark
 - Type of font: Sans-serif font (e.g., Arial, Helvetica)
 - Number of colors: Two colors","Relative to other brands, some unique features that this brand's logo has include: 
 - Design: Few distinct regions
 - Font width: Ordinary
 - Font slant: None (non-italics)
 - Symmetry: High horizontal symmetry
 - Font weight: Bold","A few other features this logo has include: 
 - Font slant: None (non-italics)
 - Font width: Ordinary
 - Font weight: Bold
 - Mark: Has a mark
 - Design: Few distinct regions"
